Iðlaidos, ið viso
23856539
27645305
30827504
34572031
30086420
34589321
36970109
39222147
35779574
42293527
45181122
49298410
47331235
53612560
55047561
51334104
35820916
36413669
37257502
40079081
33926877
38132653
41506045
45756616
41488541
46230335
