2,6123;2011,10,05
2,5891;2011,10,04
2,5552;2011,10,03
2,5383;2011,10,02
2,5383;2011,10,01
2,5383;2011,09,30
2,543;2011,09,29
2,5515;2011,09,28
2,5766;2011,09,27
2,5522;2011,09,26
2,5464;2011,09,25
2,5464;2011,09,24
2,5464;2011,09,23
2,5209;2011,09,22
2,5342;2011,09,21
2,5223;2011,09,20
2,4949;2011,09,19
2,5162;2011,09,18
2,5162;2011,09,17
2,5162;2011,09,16
2,5339;2011,09,15
2,5283;2011,09,14
2,5466;2011,09,13
2,4832;2011,09,12
2,4527;2011,09,11
2,4527;2011,09,10
2,4527;2011,09,09
2,4518;2011,09,08
2,4507;2011,09,07
2,4434;2011,09,06
2,4251;2011,09,05
2,4039;2011,09,04
2,4039;2011,09,03
2,4039;2011,09,02
2,3932;2011,09,01
2,3819;2011,08,31
2,3749;2011,08,30
2,3915;2011,08,29
2,394;2011,08,28
2,394;2011,08,27
2,394;2011,08,26
2,393;2011,08,25
2,3983;2011,08,24
2,4052;2011,08,23
2,4107;2011,08,22
2,3974;2011,08,21
2,3974;2011,08,20
2,3974;2011,08,19
2,402;2011,08,18
2,3995;2011,08,17
2,4292;2011,08,16
2,4219;2011,08,15
2,4219;2011,08,14
2,4219;2011,08,13
2,4219;2011,08,12
2,4059;2011,08,11
2,4189;2011,08,10
2,404;2011,08,09
2,4509;2011,08,08
2,4102;2011,08,07
2,4102;2011,08,06
2,4102;2011,08,05
2,4291;2011,08,04
2,4331;2011,08,03
2,3967;2011,08,02
2,4181;2011,08,01
2,4052;2011,07,31
2,4052;2011,07,30
2,4052;2011,07,29
2,3803;2011,07,28
2,3788;2011,07,27
2,4045;2011,07,26
2,3964;2011,07,25
2,4203;2011,07,24
2,4203;2011,07,23
2,4203;2011,07,22
2,433;2011,07,21
2,4459;2011,07,20
2,4589;2011,07,19
2,4414;2011,07,18
2,4315;2011,07,17
2,4315;2011,07,16
2,4315;2011,07,15
2,4641;2011,07,14
2,4783;2011,07,13
2,4374;2011,07,12
2,4068;2011,07,11
2,4075;2011,07,10
2,4075;2011,07,09
2,4075;2011,07,08
2,3849;2011,07,07
2,3729;2011,07,06
2,3729;2011,07,05
2,3753;2011,07,04
2,3818;2011,07,03
2,3818;2011,07,02
2,3818;2011,07,01
2,4013;2011,06,30
2,4207;2011,06,29
2,4425;2011,06,28
2,415;2011,06,27
2,3959;2011,06,26
2,3959;2011,06,25
2,3959;2011,06,24
2,3959;2011,06,23
2,4041;2011,06,22
2,4301;2011,06,21
2,4364;2011,06,20
2,442;2011,06,19
2,442;2011,06,18
2,442;2011,06,17
2,4015;2011,06,16
2,3928;2011,06,15
2,4058;2011,06,14
2,3823;2011,06,13
2,3611;2011,06,12
2,3611;2011,06,11
2,3611;2011,06,10
2,3532;2011,06,09
2,3581;2011,06,08
2,3562;2011,06,07
2,3842;2011,06,06
2,4025;2011,06,05
2,4025;2011,06,04
2,4025;2011,06,03
2,3935;2011,06,02
2,4014;2011,06,01
2,4177;2011,05,31
2,4238;2011,05,30
2,4381;2011,05,29
2,4381;2011,05,28
2,4381;2011,05,27
2,4638;2011,05,26
2,4541;2011,05,25
2,4615;2011,05,24
2,4115;2011,05,23
2,4193;2011,05,22
2,4193;2011,05,21
2,4193;2011,05,20
2,4227;2011,05,19
2,4376;2011,05,18
2,4457;2011,05,17
2,4229;2011,05,16
2,4319;2011,05,15
2,4319;2011,05,14
2,4319;2011,05,13
2,3982;2011,05,12
2,4118;2011,05,11
2,3982;2011,05,10
2,3695;2011,05,09
2,3209;2011,05,08
2,3209;2011,05,07
2,3209;2011,05,06
2,3283;2011,05,05
2,3308;2011,05,04
2,3319;2011,05,03
2,327;2011,05,02
2,3266;2011,05,01
2,3266;2011,04,30
2,3266;2011,04,29
2,3547;2011,04,28
2,3706;2011,04,27
2,3679;2011,04,26
2,3624;2011,04,25
2,3624;2011,04,24
2,3624;2011,04,23
2,3624;2011,04,22
2,3951;2011,04,21
2,4243;2011,04,20
2,4026;2011,04,19
2,3858;2011,04,18
2,3824;2011,04,17
2,3824;2011,04,16
2,3824;2011,04,15
2,3797;2011,04,14
2,4004;2011,04,13
2,3887;2011,04,12
2,399;2011,04,11
2,4153;2011,04,10
2,4153;2011,04,09
2,4153;2011,04,08
2,4172;2011,04,07
2,4343;2011,04,06
2,4279;2011,04,05
2,438;2011,04,04
2,4372;2011,04,03
2,4372;2011,04,02
2,4372;2011,04,01
2,4551;2011,03,31
2,4457;2011,03,30
2,4565;2011,03,29
2,4343;2011,03,28
2,4539;2011,03,27
2,4539;2011,03,26
2,4539;2011,03,25
2,4376;2011,03,24
2,4256;2011,03,23
2,4366;2011,03,22
2,4572;2011,03,21
2,474;2011,03,20
2,474;2011,03,19
2,474;2011,03,18
2,4729;2011,03,17
2,4806;2011,03,16
2,4779;2011,03,15
2,4966;2011,03,14
2,4835;2011,03,13
2,4835;2011,03,12
2,4835;2011,03,11
2,4835;2011,03,10
2,4749;2011,03,09
2,471;2011,03,08
2,4733;2011,03,07
2,4897;2011,03,06
2,4897;2011,03,05
2,4897;2011,03,04
2,5074;2011,03,03
2,5005;2011,03,02
